통계표,계정코드,통화계약구분코드,단위,가중치,변환,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12
"4.3.1.1. 수출물가지수(기본분류)","          연및아연제련,정련및합금제품","달러기준","2015=100","4.8","원자료","121.20","131.15","128.16","132.10","139.84","137.12","139.80","143.23","140.43","155.38","152.45","160.26","160.40","160.89","178.72","178.03","167.33","143.14","136.86","152.12","131.89","128.30","129.33","137.66","142.44","135.87","130.65","125.85","115.83","113.17","113.79","114.79","119.39","115.94","119.72","116.94"
"4.3.1.1. 수출물가지수(기본분류)","          금은괴","원화기준","2015=100","5.8","원자료","148.72","157.51","150.71","149.26","160.14","157.54","153.68","146.40","144.21","145.27","150.62","140.97","145.99","148.65","161.27","159.17","149.63","148.30","137.63","142.48","143.45","149.54","153.22","158.61","157.21","150.51","155.33","175.18","171.58","162.67","164.73","165.07","165.32","162.86","165.18","168.46"
"4.3.1.1. 수출물가지수(기본분류)","          금은괴","계약통화기준","2015=100","5.8","원자료","152.91","159.88","150.36","150.46","160.85","158.53","151.58","142.36","139.12","138.58","143.68","134.38","137.97","139.97","149.03","145.75","132.96","131.01","118.78","121.94","116.31","118.27","126.73","138.06","142.22","133.63","134.22","149.75","145.76","141.54","144.49","141.26","140.30","136.04","142.22","145.75"
"4.3.1.1. 수출물가지수(기본분류)","          금은괴","달러기준","2015=100","5.8","원자료","152.91","159.88","150.36","150.46","160.85","158.53","151.58","142.36","139.12","138.58","143.68","134.38","137.97","139.97","149.03","145.75","132.96","131.01","118.78","121.94","116.31","118.27","126.73","138.06","142.22","133.63","134.22","149.75","145.76","141.54","144.49","141.26","140.30","136.04","142.22","145.75"
"4.3.1.1. 수출물가지수(기본분류)","          기타비철금속제련,정련및합금제품","원화기준","2015=100","0.9","원자료","145.71","162.72","167.77","155.12","158.69","160.88","167.86","177.94","182.25","182.22","191.72","193.46","203.27","210.74","241.38","250.26","282.99","307.25","296.50","293.50","286.51","292.36","306.54","304.20","286.50","275.94","247.53","254.98","240.14","223.53","218.63","219.81","212.24","200.56","180.97","173.82"
"4.3.1.1. 수출물가지수(기본분류)","          기타비철금속제련,정련및합금제품","계약통화기준","2015=100","0.9","원자료","149.49","164.80","167.02","156.03","159.06","161.55","165.20","172.66","175.45","173.46","182.48","184.01","191.66","197.99","222.58","228.65","250.92","270.83","255.33","250.64","231.82","230.73","253.01","264.24","258.61","244.50","213.45","217.50","203.57","194.08","191.39","187.72","179.76","167.18","155.51","150.09"
"4.3.1.1. 수출물가지수(기본분류)","          기타비철금속제련,정련및합금제품","달러기준","2015=100","0.9","원자료","149.49","164.80","167.02","156.03","159.06","161.55","165.20","172.66","175.45","173.46","182.48","184.01","191.66","197.99","222.58","228.65","250.92","270.83","255.33","250.64","231.82","230.73","253.01","264.24","258.61","244.50","213.45","217.50","203.57","194.08","191.39","187.72","179.76","167.18","155.51","150.09"
"4.3.1.1. 수출물가지수(기본분류)","        비철금속1차제품","원화기준","2015=100","13.9","원자료","117.09","122.25","129.37","132.77","139.52","139.24","142.52","145.53","149.74","157.21","156.77","155.60","167.74","175.17","184.98","188.60","183.36","179.94","169.00","166.82","166.49","170.58","160.95","161.51","159.57","164.30","164.21","163.55","160.90","154.57","151.50","153.22","154.11","154.95","151.66","151.56"
"4.3.1.1. 수출물가지수(기본분류)","        비철금속1차제품","계약통화기준","2015=100","13.9","원자료","120.41","124.10","129.10","133.86","140.19","140.14","140.61","141.54","144.50","150.00","149.56","148.35","158.54","164.98","170.96","172.72","162.96","158.99","145.87","142.79","135.01","134.94","133.16","140.62","144.37","145.92","141.93","139.83","136.71","134.52","132.91","131.14","130.82","129.47","130.62","131.17"
"4.3.1.1. 수출물가지수(기본분류)","        비철금속1차제품","달러기준","2015=100","13.9","원자료","120.47","124.17","129.17","133.93","140.26","140.22","140.69","141.62","144.57","150.08","149.64","148.43","158.63","165.07","171.05","172.82","163.05","159.07","145.95","142.86","135.09","135.01","133.23","140.70","144.46","146.00","142.01","139.91","136.79","134.59","132.99","131.22","130.89","129.54","130.70","131.24"
